step,loss,train_acc,enc_std_mean,enc_std_min,enc_dead_dims,enc_rankme,lr,grad_norm,compute/samples_seen,compute/tokens_seen,compute/encoder_forwards,compute/teacher_forwards,compute/optimizer_steps,compute/wall_clock_s,compute/peak_memory_gb,epoch
0,2.773334264755249,0.0859375,0.2774851620197296,0.12349651753902435,0.0,33.325706481933594,9.201628936491642e-07,1.459803819656372,128.0,8192.0,1.0,0.0,1.0,1.4874097219999385,0.0,0.0
400,2.777473942041397,0.0646484375,0.11030374206602574,0.04450374131090939,0.0,23.322268116474152,0.00018541282307030674,1.2668448559939862,51328.0,3284992.0,401.0,0.0,401.0,369.57068071699905,0.0,0.0
800,2.58166130900383,0.127734375,0.608740097656846,0.09487317104823888,0.0,11.643901059627533,0.00048581623566409547,3.0938417980074884,102528.0,6561792.0,801.0,0.0,801.0,732.679083119001,0.0,1.0
1200,2.348445870280266,0.18205078125,0.7855279272794724,0.2671162309497595,0.0,21.461018247604372,0.0005049978890530056,5.511211740076542,153728.0,9838592.0,1201.0,0.0,1201.0,1090.013296227,0.0,1.0
1600,2.0467936906218527,0.27296875,0.8854697355628014,0.3606098762154579,0.0,27.092799654006956,0.00048015568583475993,6.186371600627899,204928.0,13115392.0,1601.0,0.0,1601.0,1451.0356074890005,0.0,2.0
2000,1.8279723402857782,0.3428125,0.9297299242019653,0.31323720257729293,0.0,29.536783361434935,0.00044155225185786036,8.172432123422622,256128.0,16392192.0,2001.0,0.0,2001.0,1804.415454045,0.0,3.0
2400,1.6740389859676361,0.394375,0.9586584374308587,0.31047123033553364,0.0,30.72797785282135,0.0003915750330011918,8.970863942503929,307328.0,19668992.0,2401.0,0.0,2401.0,2160.9778362729994,0.0,3.0
2800,1.531790510416031,0.4434765625,0.9922719322144985,0.3270041232928634,0.0,32.88589612007141,0.0003333148917322969,9.494840860366821,358528.0,22945792.0,2801.0,0.0,2801.0,2517.720201952001,0.0,4.0
3200,1.4117757451534272,0.48544921875,1.0123243418335914,0.35749264918267726,0.0,34.48387434959412,0.0002703749513965998,9.64406996846199,409728.0,26222592.0,3201.0,0.0,3201.0,2872.779101726999,0.0,4.0
3600,1.3039771093428134,0.52228515625,1.0340358570218087,0.372010747641325,0.0,36.058850898742676,0.00020664775951361884,9.993152834773063,460928.0,29499392.0,3601.0,0.0,3601.0,3233.7733006220005,0.0,5.0
4000,1.216041323840618,0.551875,1.053308239877224,0.40938414342701435,0.0,37.372013635635376,0.0001460745515113982,10.217330233454705,512128.0,32776192.0,4001.0,0.0,4001.0,3593.7814687600003,0.0,6.0
4400,1.1510263760387898,0.57271484375,1.0645333287119865,0.41507241666316985,0.0,38.54238362312317,9.240150333641672e-05,9.821251228451729,563328.0,36052992.0,4401.0,0.0,4401.0,3953.2541033330017,0.0,6.0
4800,1.0871461321413518,0.59923828125,1.079115019738674,0.4190892265737057,0.0,39.46739499092102,4.894804760052963e-05,9.69841260612011,614528.0,39329792.0,4801.0,0.0,4801.0,4310.133172473001,0.0,7.0
5200,1.062582636922598,0.60724609375,1.0857353073358536,0.4265374267101288,0.0,40.04560194015503,1.8401581851893807e-05,9.499380241036414,665728.0,42606592.0,5201.0,0.0,5201.0,4672.085289654999,0.0,7.0
